doc_id,dominant_topic,tokens_preview,topic_probability,topic_label
101,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
102,0,해외,0.9647429602098976,0_로그인_등록_인증_공동인증서
103,0,금융인증서,1.0,0_로그인_등록_인증_공동인증서
104,0,공동인증서 등록 대출금,0.9769539975797862,0_로그인_등록_인증_공동인증서
105,0,개불,0.9774095336376801,0_로그인_등록_인증_공동인증서
106,0,불편,0.24853557499264325,0_로그인_등록_인증_공동인증서
107,0,설치 다운로드 과정 이상 조치 부탁,1.0,0_로그인_등록_인증_공동인증서
108,0,네트워크 연결 오류,0.7543896874432421,0_로그인_등록_인증_공동인증서
109,0,연장 건강보험 공단 API 연동 오류메시지,0.9356084213959847,0_로그인_등록_인증_공동인증서
110,0,간편인증 등록 페이지 가시 가독성 할거,0.9161028188517272,0_로그인_등록_인증_공동인증서
111,0,불가 불편,0.24797331778523624,0_로그인_등록_인증_공동인증서
112,0,성의,0.9907972051039385,0_로그인_등록_인증_공동인증서
113,0,로그인 이거 하면 달팽이 짜증 만당 절대 가입 관련 직접 체험 스트레스 빠이,0.9885975206513006,0_로그인_등록_인증_공동인증서
114,0,공동인증서 이건,1.0,0_로그인_등록_인증_공동인증서
115,0,로그인 도안,0.8987428554547423,0_로그인_등록_인증_공동인증서
116,0,옆집 중학생,0.9578724891301633,0_로그인_등록_인증_공동인증서
117,0,로그인 바이오인증 바이오 등록 완료 위치 지문 간편인증 등록 신분증 인증 간편인증 등록 버림,0.9597539917580417,0_로그인_등록_인증_공동인증서
118,0,증권사 공동인증서 인식,1.0,0_로그인_등록_인증_공동인증서
119,0,타기관 공동인증서 등록 발급 키움증권 공동인증서 폐기 인증서 발급 귀사 인증서 폐기,0.9839262737719517,0_로그인_등록_인증_공동인증서
120,0,개안,1.0,0_로그인_등록_인증_공동인증서
121,0,편의 안정 북한앱 부족 로그인 아이 비밀번호 타인 증서 등록 회사 직원 수준 대학동 아리 직원 오점 평점 평점 관리 공공기관 사기업 바랄,1.0,0_로그인_등록_인증_공동인증서
122,0,방법 유합 타기관 공동인증서 등록 금융 인증서 한국증권금융 타기관 인증서 모바일 이동 타기관 인증서 등록 개선,0.9485025716098976,0_로그인_등록_인증_공동인증서
123,0,증권사 불편 사주 주관 사가,1.0,0_로그인_등록_인증_공동인증서
124,0,공동인증서 설치 무지,0.9686920085142248,0_로그인_등록_인증_공동인증서
125,0,인증서 등록 하루 종일 낭비,1.0,0_로그인_등록_인증_공동인증서
126,0,와우 최고 공동인증서 분실 발급 이건 하늘 별따기 인증서 비밀번호 발행 하늘 별따기 방법 방법 인증서 분실 로그인,0.9435432905135973,0_로그인_등록_인증_공동인증서
127,0,최악 고객 생각 결여 편의 인증서 갱신 휴대폰 인증서 타기 관인 증서 발행 이상 취급 오류 최악,0.9841584318964705,0_로그인_등록_인증_공동인증서
128,0,공동인증서 등록 문제 에선 인터넷익스플로러 윈도우 익스플로러 인증서 등록,0.9882281766484662,0_로그인_등록_인증_공동인증서
129,0,공동인증서 등록 쓰레기,1.0,0_로그인_등록_인증_공동인증서
130,0,공동인증서 등록 조회,1.0,0_로그인_등록_인증_공동인증서
131,0,불편,0.24708267787866317,0_로그인_등록_인증_공동인증서
132,0,최악 설치,0.18732479702156551,0_로그인_등록_인증_공동인증서
133,0,외국 신청 방법,0.9624814424774618,0_로그인_등록_인증_공동인증서
134,0,비밀번호 변경 비밀번호,1.0,0_로그인_등록_인증_공동인증서
135,0,다운로드,1.0,0_로그인_등록_인증_공동인증서
136,0,감사,0.9513716590440945,0_로그인_등록_인증_공동인증서
137,0,시세 정보,0.9785192423957346,0_로그인_등록_인증_공동인증서
138,0,공동인증서 등록,1.0,0_로그인_등록_인증_공동인증서
139,0,쓰레기 뱅킹 마이너스 개발 시대 역행,0.9829676397296477,0_로그인_등록_인증_공동인증서
140,0,설치,1.0,0_로그인_등록_인증_공동인증서
141,0,사용성,1.0,0_로그인_등록_인증_공동인증서
142,0,설치 제거 설치 계속,0.957991328142702,0_로그인_등록_인증_공동인증서
143,0,외국 네트워크 오류로 시도 재설치 도하,0.98603603436861,0_로그인_등록_인증_공동인증서
144,0,이자,1.0,0_로그인_등록_인증_공동인증서
145,0,요즘 세대,0.973831771511413,0_로그인_등록_인증_공동인증서
146,0,설치 어제,0.9621904010075134,0_로그인_등록_인증_공동인증서
147,0,업뎃했는데 사용자 편의 고민,1.0,0_로그인_등록_인증_공동인증서
148,0,공공기관 그런지 사용자 편의,0.6805788712264145,0_로그인_등록_인증_공동인증서
149,0,증권 회사 불편,0.25044316415912654,0_로그인_등록_인증_공동인증서
150,0,영국 다운로드 상태,1.0,0_로그인_등록_인증_공동인증서
151,0,사우디 증권사 은행,1.0,0_로그인_등록_인증_공동인증서
152,0,불편,0.24659091095455823,0_로그인_등록_인증_공동인증서
153,0,신분증,0.944703591659447,0_로그인_등록_인증_공동인증서
154,0,공동인증서 발행 신분증 사진 인식 테스트 의심,0.9877305273976484,0_로그인_등록_인증_공동인증서
155,0,컨텐츠 다운로드 메세지 네트워크 오류,1.0,0_로그인_등록_인증_공동인증서
156,0,설치 일인자,1.0,0_로그인_등록_인증_공동인증서
157,0,이제 다운로드,1.0,0_로그인_등록_인증_공동인증서
158,0,거지 사진 인증 오류 인내심 테스트,0.951231393553729,0_로그인_등록_인증_공동인증서
159,0,감사,0.9540265392063324,0_로그인_등록_인증_공동인증서
160,0,한국 금융기관 사용성 최악 시대 흐름 고객 편의 생각,1.0,0_로그인_등록_인증_공동인증서
161,0,예전 쓰기 대출 관련 신규 내용,1.0,0_로그인_등록_인증_공동인증서
162,0,안드로이드 은행앱,1.0,0_로그인_등록_인증_공동인증서
163,0,안드로이드 업그레이드,1.0,0_로그인_등록_인증_공동인증서
164,0,쓰레기 주소지 적용 가입 불가 주소 적용,0.9285545721336269,0_로그인_등록_인증_공동인증서
165,0,역대 최악 필요,0.6415718473073093,0_로그인_등록_인증_공동인증서
166,0,설치,1.0,0_로그인_등록_인증_공동인증서
167,0,업그레이드,1.0,0_로그인_등록_인증_공동인증서
168,0,베리,1.0,0_로그인_등록_인증_공동인증서
169,0,관리 주소,0.9541100140312012,0_로그인_등록_인증_공동인증서
170,0,인증서 갱신 오류 나니,0.9451304883325823,0_로그인_등록_인증_공동인증서
171,1,완전 쓰레기,0.6935718405778019,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
172,0,금리 주식 담보 대출 우리사주 담보 대출 모바일 할인 마이너스 금리,1.0,0_로그인_등록_인증_공동인증서
173,0,다운로드,1.0,0_로그인_등록_인증_공동인증서
174,0,다운,0.9619612569723532,0_로그인_등록_인증_공동인증서
175,0,체크 오류 잠시 후시 메세지,0.9782316406217896,0_로그인_등록_인증_공동인증서
176,0,모양 정상,0.9784600131276748,0_로그인_등록_인증_공동인증서
177,0,최고,0.943109956241079,0_로그인_등록_인증_공동인증서
178,0,매도 상환 요새 사내 거래,0.9397560244820888,0_로그인_등록_인증_공동인증서
179,0,대출 조회 관리자 방치 데이터 소비 회사 서무,0.9809124846576521,0_로그인_등록_인증_공동인증서
180,0,불편 로그인,0.9849464936352015,0_로그인_등록_인증_공동인증서
181,0,기획자 미인,0.9928683230686228,0_로그인_등록_인증_공동인증서
182,0,한국증권금융 모바일 도입 우리사주 담보 대출 반대 대출 금리 이벤트 사용법,1.0,0_로그인_등록_인증_공동인증서
183,0,최악,0.18762078113015968,0_로그인_등록_인증_공동인증서
184,0,대출 아무것,1.0,0_로그인_등록_인증_공동인증서
185,0,모바일,1.0,0_로그인_등록_인증_공동인증서
186,0,금리 증권 담보 대출 금리 완전 수시 예금 조건 국내 금융기관 제일 조건,1.0,0_로그인_등록_인증_공동인증서
187,0,공동인증서 비밀번호 입력,1.0,0_로그인_등록_인증_공동인증서
188,0,우리사주 제도 안내 해설 우리사주 조합 결성 운영 우리사주 예탁 관리 우리사주 조합원 예탁 주식 관리 우리사주 예탁 주식 이용한 담보 대출 우리사주 예정 직장인 필요 회사 성장 우,1.0,0_로그인_등록_인증_공동인증서
189,0,창구 계좌 인증,1.0,0_로그인_등록_인증_공동인증서
190,0,외부 그동안 뱅킹앱 업무 처리 뱅킹 방문 출시 다운 디자인 기능 이제 번창,0.9790597921504111,0_로그인_등록_인증_공동인증서
191,0,오오 모바일 처음 적응 도움,1.0,0_로그인_등록_인증_공동인증서
192,0,한국증권금융 뱅킹 우리사주 관리 부자,1.0,0_로그인_등록_인증_공동인증서
193,0,조작,1.0,0_로그인_등록_인증_공동인증서
